admin,admin123,Admin,System Administrator,ADMIN001,
emre.korkmaz,pass123,Student,Emre Korkmaz,202322196,
melis.celik,pass123,Student,Melis Çelik,202322420,
selin.erdem,pass123,Student,Selin Erdem,202322367,
serra.avci,pass123,Student,Serra Avcı,202322637,
doruk.sari,pass123,Student,Doruk Sarı,202322196,
melis.kaya,pass123,Student,Melis Kaya,202322097,
zeynep.yildirim,pass123,Student,Zeynep Yıldırım,202322006,
fatma.korkmaz,pass123,Student,Fatma Korkmaz,202322871,
simge.erdem,pass123,Student,Simge Erdem,202322231,
zeynep.ozcan,pass123,Student,Zeynep Özcan,202322312,
ahmet.ozkan,pass123,Student,Ahmet Özkan,202322169,
emre.kurt,pass123,Student,Emre Kurt,202322646,
selin.yildirim,pass123,Student,Selin Yıldırım,202322484,
onur.sari,pass123,Student,Onur Sarı,202322493,
buse.karadeniz,pass123,Student,Buse Karadeniz,202322961,
sinan.aksoy,pass123,Student,Sinan Aksoy,202322439,
ahmet.yildirim,pass123,Student,Ahmet Yıldırım,202322079,
can.cakir,pass123,Student,Can Çakır,202322736,
irem.dogan,pass123,Student,İrem Doğan,202322204,
mehmet.karadeniz,pass123,Student,Mehmet Karadeniz,202322501,
pelin.yildirim,pass123,Student,Pelin Yıldırım,202322934,
gizem.kurt,pass123,Student,Gizem Kurt,202322033,
emir.cetin,pass123,Student,Emir Çetin,202322998,
emir.kilic,pass123,Student,Emir Kılıç,202322268,
batuhan.ozdemir,pass123,Student,Batuhan Özdemir,202322556,
serra.aksoy,pass123,Student,Serra Aksoy,202322934,
melis.yaman,pass123,Student,Melis Yaman,202322790,
gokce.aktas,pass123,Student,Gökçe Aktaş,202322042,
ahmet.kurt,pass123,Student,Ahmet Kurt,202322637,
berk.ozcan,pass123,Student,Berk Özcan,202322790,
doruk.aydin,pass123,Student,Doruk Aydın,202322042,
alara.polat,pass123,Student,Alara Polat,202322510,
irem.sahin,pass123,Student,İrem Şahin,202322394,
kerem.koc,pass123,Student,Kerem Koç,202322088,
serra.ozturk,pass123,Student,Serra Öztürk,202355938,
fatma.ozcan,pass123,Student,Fatma Özcan,202355677,
kerem.arslan,pass123,Student,Kerem Arslan,202355334,
serra.yilmaz,pass123,Student,Serra Yılmaz,202355811,
deniz.korkmaz,pass123,Student,Deniz Korkmaz,202355262,
zeynep.yigit,pass123,Student,Zeynep Yiğit,202355857,
bora.karadeniz,pass123,Student,Bora Karadeniz,202355415,
beren.kurt,pass123,Student,Beren Kurt,202355721,
azra.demir,pass123,Student,Azra Demir,202355064,
yigit.erdem,pass123,Student,Yiğit Erdem,202355712,
alara.erten,pass123,Student,Alara Erten,202355389,
sinan.ozdemir,pass123,Student,Sinan Özdemir,202355307,
zeynep.kilic,pass123,Student,Zeynep Kılıç,202355910,
melis.kilic,pass123,Student,Melis Kılıç,202355956,
batuhan.tekin,pass123,Student,Batuhan Tekin,202355974,
onur.cetin,pass123,Student,Onur Çetin,202355929,
pelin.ozdemir,pass123,Student,Pelin Özdemir,202355163,
yigit.korkmaz,pass123,Student,Yiğit Korkmaz,202355091,
kaan.can,pass123,Student,Kaan Can,202355019,
melis.sari,pass123,Student,Melis Sarı,202355172,
serra.aktas,pass123,Student,Serra Aktaş,202355938,
melis.uzun,pass123,Student,Melis Uzun,202355703,
berk.demir,pass123,Student,Berk Demir,202355226,
zeynep.ozbek,pass123,Student,Zeynep Özbek,202355578,
melis.korkmaz,pass123,Student,Melis Korkmaz,202355550,
selin.kurt,pass123,Student,Selin Kurt,202355299,
onur.uysal,pass123,Student,Onur Uysal,202310360,
batuhan.gunes,pass123,Student,Batuhan Güneş,202310595,
emre.ozbek,pass123,Student,Emre Özbek,202310153,
can.ozcan,pass123,Student,Can Özcan,202310379,
berk.sari,pass123,Student,Berk Sarı,202310757,
onur.can,pass123,Student,Onur Can,202310090,
sinan.aslan,pass123,Student,Sinan Aslan,202310298,
deniz.uysal,pass123,Student,Deniz Uysal,202310612,
ece.kaplan,pass123,Student,Ece Kaplan,202310432,
irem.aktas,pass123,Student,İrem Aktaş,202310234,
tolga.kilic,pass123,Student,Tolga Kılıç,202310306,
damla.sari,pass123,Student,Damla Sarı,202310829,
arda.yildiz,pass123,Student,Arda Yıldız,202310342,
damla.erten,pass123,Student,Damla Erten,202310621,
bora.ozcan,pass123,Student,Bora Özcan,202310234,
batuhan.karadeniz,pass123,Student,Batuhan Karadeniz,202310946,
ahmet.polat,pass123,Student,Ahmet Polat,202310856,
emir.yaman,pass123,Student,Emir Yaman,202310504,
berk.kaplan,pass123,Student,Berk Kaplan,202310117,
sinan.demir,pass123,Student,Sinan Demir,202310009,
onur.aydin,pass123,Student,Onur Aydın,202310982,
kaan.celik,pass123,Student,Kaan Çelik,202310315,
bora.yildirim,pass123,Student,Bora Yıldırım,202310333,
arda.kilic,pass123,Student,Arda Kılıç,202310487,
alara.demir,pass123,Student,Alara Demir,202310315,
buse.cetin,pass123,Student,Buse Çetin,202310955,
duru.yildirim,pass123,Student,Duru Yıldırım,202310225,
mert.ozcan,pass123,Student,Mert Özcan,202310351,
yigit.tekin,pass123,Student,Yiğit Tekin,202310603,
beren.aktas,pass123,Student,Beren Aktaş,202310829,
irem.kilic,pass123,Student,İrem Kılıç,202310478,
gokce.ozcan,pass123,Student,Gökçe Özcan,202310478,
bora.simsek,pass123,Student,Bora Şimşek,202310423,
damla.uzun,pass123,Student,Damla Uzun,202310658,
onur.karadeniz,pass123,Student,Onur Karadeniz,202374388,
kerem.polat,pass123,Student,Kerem Polat,202374009,
doruk.demir,pass123,Student,Doruk Demir,202374009,
mert.erdem,pass123,Student,Mert Erdem,202374063,
buse.sari,pass123,Student,Buse Sarı,202374874,
batuhan.erdem,pass123,Student,Batuhan Erdem,202374883,
alara.koc,pass123,Student,Alara Koç,202374252,
irem.yildiz,pass123,Student,İrem Yıldız,202374153,
tolga.yilmaz,pass123,Student,Tolga Yılmaz,202374351,
ayse.aslan,pass123,Student,Ayşe Aslan,202374072,
mehmet.aksoy,pass123,Student,Mehmet Aksoy,202374216,
bora.uysal,pass123,Student,Bora Uysal,202374621,
batuhan.polat,pass123,Student,Batuhan Polat,202374964,
simge.cakir,pass123,Student,Simge Çakır,202374388,
alara.kilic,pass123,Student,Alara Kılıç,202374612,
can.aktas,pass123,Student,Can Aktaş,202374298,
duru.uysal,pass123,Student,Duru Uysal,202374045,
azra.sahin,pass123,Student,Azra Şahin,202374540,
tugba.karadeniz,pass123,Student,Tuğba Karadeniz,202374775,
serra.kaplan,pass123,Student,Serra Kaplan,202374423,
sinan.yigit,pass123,Student,Sinan Yiğit,202374711,
simge.yigit,pass123,Student,Simge Yiğit,202374117,
onur.arslan,pass123,Student,Onur Arslan,202374090,
oguz.yigit,pass123,Student,Oğuz Yiğit,202374667,
mehmet.yaman,pass123,Student,Mehmet Yaman,202374441,
alara.tekin,pass123,Student,Alara Tekin,202374883,
duru.avci,pass123,Student,Duru Avcı,202374649,
melis.tekin,pass123,Student,Melis Tekin,202374658,
doruk.arslan,pass123,Student,Doruk Arslan,202374559,
serra.karadeniz,pass123,Student,Serra Karadeniz,202366396,
berk.kaya,pass123,Student,Berk Kaya,202366161,
azra.aydin,pass123,Student,Azra Aydın,202366251,
beren.simsek,pass123,Student,Beren Şimşek,202366846,
damla.yaman,pass123,Student,Damla Yaman,202366837,
deniz.yaman,pass123,Student,Deniz Yaman,202366765,
selin.aktas,pass123,Student,Selin Aktaş,202366468,
gokce.demir,pass123,Student,Gökçe Demir,202366639,
alara.korkmaz,pass123,Student,Alara Korkmaz,202366431,
gizem.erdem,pass123,Student,Gizem Erdem,202366305,
ahmet.sahin,pass123,Student,Ahmet Şahin,202366134,
emir.arslan,pass123,Student,Emir Arslan,202366855,
fatma.uysal,pass123,Student,Fatma Uysal,202366675,
damla.aksoy,pass123,Student,Damla Aksoy,202366918,
ahmet.cetin,pass123,Student,Ahmet Çetin,202366864,
emir.yildiz,pass123,Student,Emir Yıldız,202366648,
sinan.koc,pass123,Student,Sinan Koç,202366503,
utku.aksoy,pass123,Student,Utku Aksoy,202366837,
beren.kaplan,pass123,Student,Beren Kaplan,202366143,
sinan.sahin,pass123,Student,Sinan Şahin,202366251,
pelin.ozbek,pass123,Student,Pelin Özbek,202366206,
gizem.erten,pass123,Student,Gizem Erten,202366585,
buse.ozbek,pass123,Student,Buse Özbek,202366882,
beren.aydin,pass123,Student,Beren Aydın,202366396,
beren.karadeniz,pass123,Student,Beren Karadeniz,202366017,
can.cetin,pass123,Student,Can Çetin,202377628,
berk.karadeniz,pass123,Student,Berk Karadeniz,202377123,
can.kaya,pass123,Student,Can Kaya,202377862,
melis.can,pass123,Student,Melis Can,202377925,
mert.koc,pass123,Student,Mert Koç,202377637,
tugba.kilic,pass123,Student,Tuğba Kılıç,202377042,
beren.can,pass123,Student,Beren Can,202377655,
deniz.ozcan,pass123,Student,Deniz Özcan,202377358,
buse.demir,pass123,Student,Buse Demir,202377150,
ece.aydin,pass123,Student,Ece Aydın,202377871,
berk.aslan,pass123,Student,Berk Aslan,202377042,
tolga.bulut,pass123,Student,Tolga Bulut,202377114,
gizem.can,pass123,Student,Gizem Can,202377763,
arda.arslan,pass123,Student,Arda Arslan,202377402,
alara.aslan,pass123,Student,Alara Aslan,202377448,
emir.karadeniz,pass123,Student,Emir Karadeniz,202377141,
mehmet.aslan,pass123,Student,Mehmet Aslan,202377817,
kaan.dogan,pass123,Student,Kaan Doğan,202377952,
mert.yilmaz,pass123,Student,Mert Yılmaz,202377998,
mehmet.uysal,pass123,Student,Mehmet Uysal,202377925,
alara.kaplan,pass123,Student,Alara Kaplan,202377349,
azra.erten,pass123,Student,Azra Erten,202377088,
melis.simsek,pass123,Student,Melis Şimşek,202377763,
utku.bulut,pass123,Student,Utku Bulut,202377745,
sinan.erdem,pass123,Student,Sinan Erdem,202377439,
doruk.ozturk,pass123,Student,Doruk Öztürk,202377402,
yigit.yaman,pass123,Student,Yiğit Yaman,202377646,
oguz.karadeniz,pass123,Student,Oğuz Karadeniz,202311305,
kaan.arslan,pass123,Student,Kaan Arslan,202311134,
onur.kilic,pass123,Student,Onur Kılıç,202311242,
simge.ozbek,pass123,Student,Simge Özbek,202311585,
ayse.can,pass123,Student,Ayşe Can,202311774,
onur.gunes,pass123,Student,Onur Güneş,202311684,
batuhan.kurt,pass123,Student,Batuhan Kurt,202311125,
melis.gunes,pass123,Student,Melis Güneş,202311855,
tolga.ozbek,pass123,Student,Tolga Özbek,202311251,
emre.arslan,pass123,Student,Emre Arslan,202311990,
onur.aksoy,pass123,Student,Onur Aksoy,202311990,
ece.yaman,pass123,Student,Ece Yaman,202311846,
deniz.uzun,pass123,Student,Deniz Uzun,202311684,
tugba.ozbek,pass123,Student,Tuğba Özbek,202311332,
buse.uzun,pass123,Student,Buse Uzun,202311224,
can.koc,pass123,Student,Can Koç,202311882,
emir.koc,pass123,Student,Emir Koç,202311422,
tugba.celik,pass123,Student,Tuğba Çelik,202311413,
zeynep.tekin,pass123,Student,Zeynep Tekin,202311891,
doruk.bulut,pass123,Student,Doruk Bulut,202311099,
tolga.uysal,pass123,Student,Tolga Uysal,202311792,
tolga.ozkan,pass123,Student,Tolga Özkan,202311927,
irem.aydin,pass123,Student,İrem Aydın,202311585,
tugba.yigit,pass123,Student,Tuğba Yiğit,202311107,
oguz.korkmaz,pass123,Student,Oğuz Korkmaz,202311684,
doruk.karadeniz,pass123,Student,Doruk Karadeniz,202311684,
burak.kaplan,pass123,Student,Burak Kaplan,202311350,
fatma.kaplan,pass123,Student,Fatma Kaplan,202311341,
onur.ozbek,pass123,Student,Onur Özbek,202311189,
kerem.korkmaz,pass123,Student,Kerem Korkmaz,202333428,
mehmet.erdem,pass123,Student,Mehmet Erdem,202333130,
oguz.kurt,pass123,Student,Oğuz Kurt,202333031,
emir.ozturk,pass123,Student,Emir Öztürk,202333040,
doruk.cakir,pass123,Student,Doruk Çakır,202333545,
doruk.yigit,pass123,Student,Doruk Yiğit,202333103,
alara.yildiz,pass123,Student,Alara Yıldız,202333716,
batuhan.erten,pass123,Student,Batuhan Erten,202333491,
bora.tekin,pass123,Student,Bora Tekin,202333888,
gizem.cakir,pass123,Student,Gizem Çakır,202333491,
deniz.aslan,pass123,Student,Deniz Aslan,202333680,
bora.can,pass123,Student,Bora Can,202333374,
onur.dogan,pass123,Student,Onur Doğan,202333662,
kerem.uzun,pass123,Student,Kerem Uzun,202333923,
sinan.kilic,pass123,Student,Sinan Kılıç,202333798,
mehmet.polat,pass123,Student,Mehmet Polat,202333194,
mehmet.korkmaz,pass123,Student,Mehmet Korkmaz,202333626,
gokce.celik,pass123,Student,Gökçe Çelik,202333716,
berk.cetin,pass123,Student,Berk Çetin,202333923,
duru.erdem,pass123,Student,Duru Erdem,202333310,
gokce.aksoy,pass123,Student,Gökçe Aksoy,202333996,
batuhan.aydin,pass123,Student,Batuhan Aydın,202333004,
zeynep.avci,pass123,Student,Zeynep Avcı,202333996,
damla.can,pass123,Student,Damla Can,202333464,
gokce.uysal,pass123,Student,Gökçe Uysal,202333590,
emir.korkmaz,pass123,Student,Emir Korkmaz,202333428,
duru.kurt,pass123,Student,Duru Kurt,202333428,
melis.avci,pass123,Student,Melis Avcı,202333022,
azra.cetin,pass123,Student,Azra Çetin,202333770,
simge.gunes,pass123,Student,Simge Güneş,202333167,
fatma.ozturk,pass123,Student,Fatma Öztürk,202333789,
ahmet.yildiz,pass123,Student,Ahmet Yıldız,202333365,
bora.aydin,pass123,Student,Bora Aydın,202344651,
tolga.arslan,pass123,Student,Tolga Arslan,202344796,
duru.bulut,pass123,Student,Duru Bulut,202344093,
selin.simsek,pass123,Student,Selin Şimşek,202344525,
irem.tekin,pass123,Student,İrem Tekin,202344958,
simge.kurt,pass123,Student,Simge Kurt,202344705,
doruk.simsek,pass123,Student,Doruk Şimşek,202344101,
bora.cakir,pass123,Student,Bora Çakır,202344264,
selin.kaplan,pass123,Student,Selin Kaplan,202344886,
bora.cetin,pass123,Student,Bora Çetin,202344813,
tugba.simsek,pass123,Student,Tuğba Şimşek,202344732,
buse.sahin,pass123,Student,Buse Şahin,202344228,
fatma.karadeniz,pass123,Student,Fatma Karadeniz,202344741,
ayse.aydin,pass123,Student,Ayşe Aydın,202344769,
serra.dogan,pass123,Student,Serra Doğan,202344660,
mert.aktas,pass123,Student,Mert Aktaş,202344796,
azra.yaman,pass123,Student,Azra Yaman,202344480,
mert.uysal,pass123,Student,Mert Uysal,202344921,
serra.kurt,pass123,Student,Serra Kurt,202344174,
burak.cakir,pass123,Student,Burak Çakır,202344633,
berk.ozdemir,pass123,Student,Berk Özdemir,202344985,
gizem.yildirim,pass123,Student,Gizem Yıldırım,202344453,
can.uysal,pass123,Student,Can Uysal,202344372,
berk.ozbek,pass123,Student,Berk Özbek,202344570,
yigit.user8,pass123,Student,Yiğit Yiğit,202344859,
kaan.cakir,pass123,Student,Kaan Çakır,202344291,
irem.celik,pass123,Student,İrem Çelik,202344688,
batuhan.demir,pass123,Student,Batuhan Demir,202344291,
pelin.aslan,pass123,Student,Pelin Aslan,202344697,
deniz.ozkan,pass123,Student,Deniz Özkan,202344291,
selin.uysal,pass123,Student,Selin Uysal,202344093,
berk.kurt,pass123,Student,Berk Kurt,202344831,
tolga.ozturk,pass123,Student,Tolga Öztürk,202344787,
buse.kurt,pass123,Student,Buse Kurt,202322088,
arda.karadeniz,pass123,Student,Arda Karadeniz,202322204,
pelin.yigit,pass123,Student,Pelin Yiğit,202322024,
oguz.uzun,pass123,Student,Oğuz Uzun,202322367,
bora.yilmaz,pass123,Student,Bora Yılmaz,202322448,
gokce.uzun,pass123,Student,Gökçe Uzun,202322394,
ece.simsek,pass123,Student,Ece Şimşek,202322835,
mehmet.yildiz,pass123,Student,Mehmet Yıldız,202322141,
emir.aslan,pass123,Student,Emir Aslan,202322916,
serra.simsek,pass123,Student,Serra Şimşek,202322691,
tolga.avci,pass123,Student,Tolga Avcı,202322673,
azra.simsek,pass123,Student,Azra Şimşek,202322060,
doruk.yildirim,pass123,Student,Doruk Yıldırım,202322385,
batuhan.yildiz,pass123,Student,Batuhan Yıldız,202322088,
sinan.cetin,pass123,Student,Sinan Çetin,202322303,
sinan.yilmaz,pass123,Student,Sinan Yılmaz,202322673,
fatma.avci,pass123,Student,Fatma Avcı,202322015,
utku.cetin,pass123,Student,Utku Çetin,202322646,
ahmet.aksoy,pass123,Student,Ahmet Aksoy,202322916,
damla.erdem,pass123,Student,Damla Erdem,202322493,
onur.cakir,pass123,Student,Onur Çakır,202322457,
bora.ozturk,pass123,Student,Bora Öztürk,202322402,
irem.karadeniz,pass123,Student,İrem Karadeniz,202322330,
sinan.korkmaz,pass123,Student,Sinan Korkmaz,202322853,
simge.celik,pass123,Student,Simge Çelik,202322600,
melis.kaplan,pass123,Student,Melis Kaplan,202322934,
utku.arslan,pass123,Student,Utku Arslan,202322655,
tugba.uzun,pass123,Student,Tuğba Uzun,202322330,
emir.gunes,pass123,Student,Emir Güneş,202322457,
melis.aksoy,pass123,Student,Melis Aksoy,202322655,
sinan.aktas,pass123,Student,Sinan Aktaş,202322916,
pelin.uzun,pass123,Student,Pelin Uzun,202322952,
tolga.sahin,pass123,Student,Tolga Şahin,202322673,
tugba.ozkan,pass123,Student,Tuğba Özkan,202322916,
batuhan.aktas,pass123,Student,Batuhan Aktaş,202355767,
azra.can,pass123,Student,Azra Can,202355613,
pelin.simsek,pass123,Student,Pelin Şimşek,202355758,
damla.ozkan,pass123,Student,Damla Özkan,202355055,
berk.tekin,pass123,Student,Berk Tekin,202355028,
utku.korkmaz,pass123,Student,Utku Korkmaz,202355965,
batuhan.sahin,pass123,Student,Batuhan Şahin,202355091,
emir.erdem,pass123,Student,Emir Erdem,202355064,
pelin.kaplan,pass123,Student,Pelin Kaplan,202355073,
alara.kaya,pass123,Student,Alara Kaya,202355271,
alara.aksoy,pass123,Student,Alara Aksoy,202355091,
emir.uzun,pass123,Student,Emir Uzun,202355172,
alara.ozbek,pass123,Student,Alara Özbek,202355956,
azra.ozkan,pass123,Student,Azra Özkan,202355947,
burak.can,pass123,Student,Burak Can,202355181,
tolga.kaya,pass123,Student,Tolga Kaya,202355307,
kaan.ozdemir,pass123,Student,Kaan Özdemir,202355046,
tugba.aydin,pass123,Student,Tuğba Aydın,202355145,
azra.uzun,pass123,Student,Azra Uzun,202355262,
mehmet.sari,pass123,Student,Mehmet Sarı,202355712,
gizem.koc,pass123,Student,Gizem Koç,202355640,
selin.karadeniz,pass123,Student,Selin Karadeniz,202355109,
buse.korkmaz,pass123,Student,Buse Korkmaz,202355802,
damla.aktas,pass123,Student,Damla Aktaş,202355479,
burak.simsek,pass123,Student,Burak Şimşek,202355415,
emre.yigit,pass123,Student,Emre Yiğit,202355136,
sinan.sari,pass123,Student,Sinan Sarı,202355415,
bora.sahin,pass123,Student,Bora Şahin,202355604,
utku.erten,pass123,Student,Utku Erten,202355767,
berk.yildirim,pass123,Student,Berk Yıldırım,202355965,
emir.celik,pass123,Student,Emir Çelik,202355983,
ece.ozkan,pass123,Student,Ece Özkan,202355389,
batuhan.dogan,pass123,Student,Batuhan Doğan,202355983,
azra.cakir,pass123,Student,Azra Çakır,202355451,
irem.ozdemir,pass123,Student,İrem Özdemir,202355785,
ece.erten,pass123,Student,Ece Erten,202310900,
sinan.polat,pass123,Student,Sinan Polat,202310315,
selin.koc,pass123,Student,Selin Koç,202310379,
can.korkmaz,pass123,Student,Can Korkmaz,202310171,
ayse.aktas,pass123,Student,Ayşe Aktaş,202310360,
simge.bulut,pass123,Student,Simge Bulut,202310081,
tugba.kaya,pass123,Student,Tuğba Kaya,202310388,
gizem.korkmaz,pass123,Student,Gizem Korkmaz,202310739,
yigit.karadeniz,pass123,Student,Yiğit Karadeniz,202310586,
serra.kaya,pass123,Student,Serra Kaya,202310289,
pelin.kurt,pass123,Student,Pelin Kurt,202310739,
kaan.sari,pass123,Student,Kaan Sarı,202310522,
zeynep.polat,pass123,Student,Zeynep Polat,202310766,
ece.erdem,pass123,Student,Ece Erdem,202310649,
utku.polat,pass123,Student,Utku Polat,202310298,
sinan.gunes,pass123,Student,Sinan Güneş,202310171,
kaan.avci,pass123,Student,Kaan Avcı,202310874,
fatma.koc,pass123,Student,Fatma Koç,202310126,
can.simsek,pass123,Student,Can Şimşek,202310117,
can.aslan,pass123,Student,Can Aslan,202310612,
melis.ozbek,pass123,Student,Melis Özbek,202310892,
gizem.kilic,pass123,Student,Gizem Kılıç,202310775,
burak.ozdemir,pass123,Student,Burak Özdemir,202310207,
utku.uzun,pass123,Student,Utku Uzun,202310801,
mehmet.ozturk,pass123,Student,Mehmet Öztürk,202310441,
kerem.ozkan,pass123,Student,Kerem Özkan,202310243,
damla.polat,pass123,Student,Damla Polat,202310829,
emir.sari,pass123,Student,Emir Sarı,202310973,
doruk.yaman,pass123,Student,Doruk Yaman,202310144,
beren.erdem,pass123,Student,Beren Erdem,202310757,
onur.demir,pass123,Student,Onur Demir,202310126,
utku.sahin,pass123,Student,Utku Şahin,202310306,
buse.aydin,pass123,Student,Buse Aydın,202310441,
emir.simsek,pass123,Student,Emir Şimşek,202310928,
utku.kaplan,pass123,Student,Utku Kaplan,202374685,
tolga.demir,pass123,Student,Tolga Demir,202374063,
oguz.erdem,pass123,Student,Oğuz Erdem,202374478,
tolga.tekin,pass123,Student,Tolga Tekin,202374630,
berk.polat,pass123,Student,Berk Polat,202374063,
kaan.ozbek,pass123,Student,Kaan Özbek,202374171,
serra.korkmaz,pass123,Student,Serra Korkmaz,202374441,
onur.korkmaz,pass123,Student,Onur Korkmaz,202374063,
bora.ozdemir,pass123,Student,Bora Özdemir,202374469,
utku.kaya,pass123,Student,Utku Kaya,202374702,
buse.cakir,pass123,Student,Buse Çakır,202374063,
serra.yildirim,pass123,Student,Serra Yıldırım,202374081,
ayse.ozcan,pass123,Student,Ayşe Özcan,202374135,
emre.kilic,pass123,Student,Emre Kılıç,202374739,
yigit.sahin,pass123,Student,Yiğit Şahin,202374919,
duru.simsek,pass123,Student,Duru Şimşek,202374009,
pelin.korkmaz,pass123,Student,Pelin Korkmaz,202374694,
irem.korkmaz,pass123,Student,İrem Korkmaz,202374171,
selin.korkmaz,pass123,Student,Selin Korkmaz,202374135,
yigit.yildirim,pass123,Student,Yiğit Yıldırım,202374991,
can.ozdemir,pass123,Student,Can Özdemir,202374964,
irem.yilmaz,pass123,Student,İrem Yılmaz,202374441,
tolga.kaplan,pass123,Student,Tolga Kaplan,202374612,
sinan.ozbek,pass123,Student,Sinan Özbek,202374649,
gokce.ozkan,pass123,Student,Gökçe Özkan,202374496,
arda.cakir,pass123,Student,Arda Çakır,202374450,
zeynep.uzun,pass123,Student,Zeynep Uzun,202366125,
tugba.korkmaz,pass123,Student,Tuğba Korkmaz,202366936,
doruk.kaya,pass123,Student,Doruk Kaya,202366620,
can.demir,pass123,Student,Can Demir,202366459,
onur.ozkan,pass123,Student,Onur Özkan,202366710,
kaan.erdem,pass123,Student,Kaan Erdem,202366224,
gokce.kaya,pass123,Student,Gökçe Kaya,202366071,
ahmet.can,pass123,Student,Ahmet Can,202366468,
serra.ozbek,pass123,Student,Serra Özbek,202366396,
emre.yildirim,pass123,Student,Emre Yıldırım,202366747,
bora.arslan,pass123,Student,Bora Arslan,202366404,
damla.demir,pass123,Student,Damla Demir,202366152,
gizem.simsek,pass123,Student,Gizem Şimşek,202366099,
gokce.kilic,pass123,Student,Gökçe Kılıç,202366341,
sinan.simsek,pass123,Student,Sinan Şimşek,202366521,
utku.kilic,pass123,Student,Utku Kılıç,202366963,
deniz.sari,pass123,Student,Deniz Sarı,202366477,
serra.bulut,pass123,Student,Serra Bulut,202366477,
kaan.tekin,pass123,Student,Kaan Tekin,202366260,
damla.ozcan,pass123,Student,Damla Özcan,202366198,
fatma.ozdemir,pass123,Student,Fatma Özdemir,202366396,
yigit.kilic,pass123,Student,Yiğit Kılıç,202366206,
duru.korkmaz,pass123,Student,Duru Korkmaz,202366990,
buse.kaya,pass123,Student,Buse Kaya,202366828,
beren.kilic,pass123,Student,Beren Kılıç,202366594,
beren.dogan,pass123,Student,Beren Doğan,202366666,
ayse.tekin,pass123,Student,Ayşe Tekin,202366297,
kaan.bulut,pass123,Student,Kaan Bulut,202366387,
deniz.sahin,pass123,Student,Deniz Şahin,202366053,
tugba.bulut,pass123,Student,Tuğba Bulut,202366710,
beren.avci,pass123,Student,Beren Avcı,202366459,
azra.ozcan,pass123,Student,Azra Özcan,202366828,
beren.ozdemir,pass123,Student,Beren Özdemir,202377934,
duru.aktas,pass123,Student,Duru Aktaş,202377772,
simge.ozcan,pass123,Student,Simge Özcan,202377051,
irem.aslan,pass123,Student,İrem Aslan,202377547,
yigit.kurt,pass123,Student,Yiğit Kurt,202377736,
zeynep.korkmaz,pass123,Student,Zeynep Korkmaz,202377781,
serra.erdem,pass123,Student,Serra Erdem,202377646,
pelin.can,pass123,Student,Pelin Can,202377998,
berk.kilic,pass123,Student,Berk Kılıç,202377808,
gizem.aktas,pass123,Student,Gizem Aktaş,202377853,
gokce.yigit,pass123,Student,Gökçe Yiğit,202377637,
utku.kurt,pass123,Student,Utku Kurt,202377556,
buse.arslan,pass123,Student,Buse Arslan,202377286,
beren.uzun,pass123,Student,Beren Uzun,202377600,
duru.ozkan,pass123,Student,Duru Özkan,202377394,
damla.kaplan,pass123,Student,Damla Kaplan,202377547,
ayse.ozbek,pass123,Student,Ayşe Özbek,202377088,
tugba.tekin,pass123,Student,Tuğba Tekin,202377088,
simge.aslan,pass123,Student,Simge Aslan,202377312,
ece.cetin,pass123,Student,Ece Çetin,202377240,
buse.tekin,pass123,Student,Buse Tekin,202377169,
berk.avci,pass123,Student,Berk Avcı,202377088,
damla.kilic,pass123,Student,Damla Kılıç,202377385,
zeynep.erdem,pass123,Student,Zeynep Erdem,202377060,
zeynep.aktas,pass123,Student,Zeynep Aktaş,202377899,
fatma.uzun,pass123,Student,Fatma Uzun,202377321,
yigit.ozcan,pass123,Student,Yiğit Özcan,202377907,
emre.aksoy,pass123,Student,Emre Aksoy,202377709,
sinan.cakir,pass123,Student,Sinan Çakır,202377439,
tolga.ozcan,pass123,Student,Tolga Özcan,202380688,
sinan.erten,pass123,Student,Sinan Erten,202380156,
kaan.koc,pass123,Student,Kaan Koç,202380831,
azra.tekin,pass123,Student,Azra Tekin,202380462,
alara.avci,pass123,Student,Alara Avcı,202380723,
batuhan.can,pass123,Student,Batuhan Can,202380075,
doruk.erdem,pass123,Student,Doruk Erdem,202380958,
bora.avci,pass123,Student,Bora Avcı,202380390,
kerem.ozbek,pass123,Student,Kerem Özbek,202380345,
serra.sari,pass123,Student,Serra Sarı,202380714,
simge.dogan,pass123,Student,Simge Doğan,202380723,
ece.ozbek,pass123,Student,Ece Özbek,202380462,
gokce.karadeniz,pass123,Student,Gökçe Karadeniz,202380002,
arda.aslan,pass123,Student,Arda Aslan,202380200,
kerem.kaya,pass123,Student,Kerem Kaya,202380138,
selin.yigit,pass123,Student,Selin Yiğit,202380552,
melis.cetin,pass123,Student,Melis Çetin,202380462,
tugba.yildiz,pass123,Student,Tuğba Yıldız,202380840,
oguz.ozkan,pass123,Student,Oğuz Özkan,202380039,
batuhan.ozcan,pass123,Student,Batuhan Özcan,202380408,
bora.yigit,pass123,Student,Bora Yiğit,202380372,
pelin.sari,pass123,Student,Pelin Sarı,202380516,
serra.uzun,pass123,Student,Serra Uzun,202380958,
yigit.sari,pass123,Student,Yiğit Sarı,202380480,
beren.demir,pass123,Student,Beren Demir,202380615,
simge.karadeniz,pass123,Student,Simge Karadeniz,202380769,
tolga.bulut791,pass123,Instructor,Prof. Tolga Bulut,FI1,
