202511736,Fatma Yıldız,CS,1,fatma.yildiz,ME,1
202374298,Can Aktaş,MBG,1,can.aktas
202374045,Duru Uysal,MBG,1,duru.uysal
202374540,Azra Şahin,MBG,1,azra.sahin
202374775,Tuğba Karadeniz,MBG,1,tugba.karadeniz
202374423,Serra Kaplan,MBG,1,serra.kaplan
202374711,Sinan Yiğit,MBG,1,sinan.yigit
202374117,Simge Yiğit,MBG,1,simge.yigit
202374090,Onur Arslan,MBG,1,onur.arslan
202374667,Oğuz Yiğit,MBG,1,oguz.yigit
202374441,Mehmet Yaman,MBG,1,mehmet.yaman
202374883,Alara Tekin,MBG,1,alara.tekin
202374649,Duru Avcı,MBG,1,duru.avci
202374658,Melis Tekin,MBG,1,melis.tekin
202374559,Doruk Arslan,MBG,1,doruk.arslan
202366396,Serra Karadeniz,BA,1,serra.karadeniz
202366161,Berk Kaya,BA,1,berk.kaya
202366251,Azra Aydın,BA,1,azra.aydin
202366846,Beren Şimşek,BA,1,beren.simsek
202366837,Damla Yaman,BA,1,damla.yaman
202366765,Deniz Yaman,BA,1,deniz.yaman
202366468,Selin Aktaş,BA,1,selin.aktas
202366639,Gökçe Demir,BA,1,gokce.demir
202366431,Alara Korkmaz,BA,1,alara.korkmaz
202366305,Gizem Erdem,BA,1,gizem.erdem
202366134,Ahmet Şahin,BA,1,ahmet.sahin
202366855,Emir Arslan,BA,1,emir.arslan
202366675,Fatma Uysal,BA,1,fatma.uysal
202366918,Damla Aksoy,BA,1,damla.aksoy
202366864,Ahmet Çetin,BA,1,ahmet.cetin
202366648,Emir Yıldız,BA,1,emir.yildiz
202366503,Sinan Koç,BA,1,sinan.koc
202366837,Utku Aksoy,BA,1,utku.aksoy
202366143,Beren Kaplan,BA,1,beren.kaplan
202366251,Sinan Şahin,BA,1,sinan.sahin
202366206,Pelin Özbek,BA,1,pelin.ozbek
202366585,Gizem Erten,BA,1,gizem.erten
202366882,Buse Özbek,BA,1,buse.ozbek
202366396,Beren Aydın,BA,1,beren.aydin
202366017,Beren Karadeniz,BA,1,beren.karadeniz
202377628,Can Çetin,PSY,1,can.cetin
202377123,Berk Karadeniz,PSY,1,berk.karadeniz
202377862,Can Kaya,PSY,1,can.kaya
202377925,Melis Can,PSY,1,melis.can
202377637,Mert Koç,PSY,1,mert.koc
202377042,Tuğba Kılıç,PSY,1,tugba.kilic
202377655,Beren Can,PSY,1,beren.can
202377358,Deniz Özcan,PSY,1,deniz.ozcan
202377150,Buse Demir,PSY,1,buse.demir
202377871,Ece Aydın,PSY,1,ece.aydin
202377042,Berk Aslan,PSY,1,berk.aslan
202377114,Tolga Bulut,PSY,1,tolga.bulut
202377763,Gizem Can,PSY,1,gizem.can
202377402,Arda Arslan,PSY,1,arda.arslan
202377448,Alara Aslan,PSY,1,alara.aslan
202377141,Emir Karadeniz,PSY,1,emir.karadeniz
202377817,Mehmet Aslan,PSY,1,mehmet.aslan
202377952,Kaan Doğan,PSY,1,kaan.dogan
202377998,Mert Yılmaz,PSY,1,mert.yilmaz
202377925,Mehmet Uysal,PSY,1,mehmet.uysal
202377349,Alara Kaplan,PSY,1,alara.kaplan
202377088,Azra Erten,PSY,1,azra.erten
202377763,Melis Şimşek,PSY,1,melis.simsek
202377745,Utku Bulut,PSY,1,utku.bulut
202377439,Sinan Erdem,PSY,1,sinan.erdem
202377402,Doruk Öztürk,PSY,1,doruk.ozturk
202377646,Yiğit Yaman,PSY,1,yigit.yaman
202311305,Oğuz Karadeniz,CS,1,oguz.karadeniz
202311134,Kaan Arslan,CS,1,kaan.arslan
202311242,Onur Kılıç,CS,1,onur.kilic
202311585,Simge Özbek,CS,1,simge.ozbek
202311774,Ayşe Can,CS,1,ayse.can
202311684,Onur Güneş,CS,1,onur.gunes
202311125,Batuhan Kurt,CS,1,batuhan.kurt
202311855,Melis Güneş,CS,1,melis.gunes
202311251,Tolga Özbek,CS,1,tolga.ozbek
202311990,Emre Arslan,CS,1,emre.arslan
202311990,Onur Aksoy,CS,1,onur.aksoy
202311846,Ece Yaman,CS,1,ece.yaman
202311684,Deniz Uzun,CS,1,deniz.uzun
202311332,Tuğba Özbek,CS,1,tugba.ozbek
202311224,Buse Uzun,CS,1,buse.uzun
202311882,Can Koç,CS,1,can.koc
202311422,Emir Koç,CS,1,emir.koc
202311413,Tuğba Çelik,CS,1,tugba.celik
202311891,Zeynep Tekin,CS,1,zeynep.tekin
202311099,Doruk Bulut,CS,1,doruk.bulut
202311792,Tolga Uysal,CS,1,tolga.uysal
202311927,Tolga Özkan,CS,1,tolga.ozkan
202311585,İrem Aydın,CS,1,irem.aydin
202311107,Tuğba Yiğit,CS,1,tugba.yigit
202311684,Oğuz Korkmaz,CS,1,oguz.korkmaz
202311684,Doruk Karadeniz,CS,1,doruk.karadeniz
202311350,Burak Kaplan,CS,1,burak.kaplan
202311341,Fatma Kaplan,CS,1,fatma.kaplan
202311189,Onur Özbek,CS,1,onur.ozbek
202333428,Kerem Korkmaz,EE,1,kerem.korkmaz
202333130,Mehmet Erdem,EE,1,mehmet.erdem
202333031,Oğuz Kurt,EE,1,oguz.kurt
202333040,Emir Öztürk,EE,1,emir.ozturk
202333545,Doruk Çakır,EE,1,doruk.cakir
202333103,Doruk Yiğit,EE,1,doruk.yigit
202333716,Alara Yıldız,EE,1,alara.yildiz
202333491,Batuhan Erten,EE,1,batuhan.erten
202333888,Bora Tekin,EE,1,bora.tekin
202333491,Gizem Çakır,EE,1,gizem.cakir
202333680,Deniz Aslan,EE,1,deniz.aslan
202333374,Bora Can,EE,1,bora.can
202333662,Onur Doğan,EE,1,onur.dogan
202333923,Kerem Uzun,EE,1,kerem.uzun
202333798,Sinan Kılıç,EE,1,sinan.kilic
202333194,Mehmet Polat,EE,1,mehmet.polat
202333626,Mehmet Korkmaz,EE,1,mehmet.korkmaz
202333716,Gökçe Çelik,EE,1,gokce.celik
202333923,Berk Çetin,EE,1,berk.cetin
202333310,Duru Erdem,EE,1,duru.erdem
202333996,Gökçe Aksoy,EE,1,gokce.aksoy
202333004,Batuhan Aydın,EE,1,batuhan.aydin
202333996,Zeynep Avcı,EE,1,zeynep.avci
202333464,Damla Can,EE,1,damla.can
202333590,Gökçe Uysal,EE,1,gokce.uysal
202333428,Emir Korkmaz,EE,1,emir.korkmaz
202333428,Duru Kurt,EE,1,duru.kurt
202333022,Melis Avcı,EE,1,melis.avci
202333770,Azra Çetin,EE,1,azra.cetin
202333167,Simge Güneş,EE,1,simge.gunes
202333789,Fatma Öztürk,EE,1,fatma.ozturk
202333365,Ahmet Yıldız,EE,1,ahmet.yildiz
202344651,Bora Aydın,ME,1,bora.aydin
202344796,Tolga Arslan,ME,1,tolga.arslan
202344093,Duru Bulut,ME,1,duru.bulut
202344525,Selin Şimşek,ME,1,selin.simsek
202344958,İrem Tekin,ME,1,irem.tekin
202344705,Simge Kurt,ME,1,simge.kurt
202344101,Doruk Şimşek,ME,1,doruk.simsek
202344264,Bora Çakır,ME,1,bora.cakir
202344886,Selin Kaplan,ME,1,selin.kaplan
202344813,Bora Çetin,ME,1,bora.cetin
202344732,Tuğba Şimşek,ME,1,tugba.simsek
202344228,Buse Şahin,ME,1,buse.sahin
202344741,Fatma Karadeniz,ME,1,fatma.karadeniz
202344769,Ayşe Aydın,ME,1,ayse.aydin
202344660,Serra Doğan,ME,1,serra.dogan
202344796,Mert Aktaş,ME,1,mert.aktas
202344480,Azra Yaman,ME,1,azra.yaman
202344921,Mert Uysal,ME,1,mert.uysal
202344174,Serra Kurt,ME,1,serra.kurt
202344633,Burak Çakır,ME,1,burak.cakir
202344985,Berk Özdemir,ME,1,berk.ozdemir
202344453,Gizem Yıldırım,ME,1,gizem.yildirim
202344372,Can Uysal,ME,1,can.uysal
202344570,Berk Özbek,ME,1,berk.ozbek
202344859,Yiğit Yiğit,ME,1,yigit.user8
202344291,Kaan Çakır,ME,1,kaan.cakir
202344688,İrem Çelik,ME,1,irem.celik
202344291,Batuhan Demir,ME,1,batuhan.demir
202344697,Pelin Aslan,ME,1,pelin.aslan
202344291,Deniz Özkan,ME,1,deniz.ozkan
202344093,Selin Uysal,ME,1,selin.uysal
202344831,Berk Kurt,ME,1,berk.kurt
202344787,Tolga Öztürk,ME,1,tolga.ozturk
202322088,Buse Kurt,IE,1,buse.kurt
202322204,Arda Karadeniz,IE,1,arda.karadeniz
202322024,Pelin Yiğit,IE,1,pelin.yigit
202322367,Oğuz Uzun,IE,1,oguz.uzun
202322448,Bora Yılmaz,IE,1,bora.yilmaz
202322394,Gökçe Uzun,IE,1,gokce.uzun
202322835,Ece Şimşek,IE,1,ece.simsek
202322141,Mehmet Yıldız,IE,1,mehmet.yildiz
202322916,Emir Aslan,IE,1,emir.aslan
202322691,Serra Şimşek,IE,1,serra.simsek
202322673,Tolga Avcı,IE,1,tolga.avci
202322060,Azra Şimşek,IE,1,azra.simsek
202322385,Doruk Yıldırım,IE,1,doruk.yildirim
202322088,Batuhan Yıldız,IE,1,batuhan.yildiz
202322303,Sinan Çetin,IE,1,sinan.cetin
202322673,Sinan Yılmaz,IE,1,sinan.yilmaz
202322015,Fatma Avcı,IE,1,fatma.avci
202322646,Utku Çetin,IE,1,utku.cetin
202322916,Ahmet Aksoy,IE,1,ahmet.aksoy
202322493,Damla Erdem,IE,1,damla.erdem
202322457,Onur Çakır,IE,1,onur.cakir
202322402,Bora Öztürk,IE,1,bora.ozturk
202322330,İrem Karadeniz,IE,1,irem.karadeniz
202322853,Sinan Korkmaz,IE,1,sinan.korkmaz
202322600,Simge Çelik,IE,1,simge.celik
202322934,Melis Kaplan,IE,1,melis.kaplan
202322655,Utku Arslan,IE,1,utku.arslan
202322330,Tuğba Uzun,IE,1,tugba.uzun
202322457,Emir Güneş,IE,1,emir.gunes
202322655,Melis Aksoy,IE,1,melis.aksoy
202322916,Sinan Aktaş,IE,1,sinan.aktas
202322952,Pelin Uzun,IE,1,pelin.uzun
202322673,Tolga Şahin,IE,1,tolga.sahin
202322916,Tuğba Özkan,IE,1,tugba.ozkan
202355767,Batuhan Aktaş,CE,1,batuhan.aktas
202355613,Azra Can,CE,1,azra.can
202355758,Pelin Şimşek,CE,1,pelin.simsek
202355055,Damla Özkan,CE,1,damla.ozkan
202355028,Berk Tekin,CE,1,berk.tekin
202355965,Utku Korkmaz,CE,1,utku.korkmaz
202355091,Batuhan Şahin,CE,1,batuhan.sahin
202355064,Emir Erdem,CE,1,emir.erdem
202355073,Pelin Kaplan,CE,1,pelin.kaplan
202355271,Alara Kaya,CE,1,alara.kaya
202355091,Alara Aksoy,CE,1,alara.aksoy
202355172,Emir Uzun,CE,1,emir.uzun
202355956,Alara Özbek,CE,1,alara.ozbek
202355947,Azra Özkan,CE,1,azra.ozkan
202355181,Burak Can,CE,1,burak.can
202355307,Tolga Kaya,CE,1,tolga.kaya
202355046,Kaan Özdemir,CE,1,kaan.ozdemir
202355145,Tuğba Aydın,CE,1,tugba.aydin
202355262,Azra Uzun,CE,1,azra.uzun
202355712,Mehmet Sarı,CE,1,mehmet.sari
202355640,Gizem Koç,CE,1,gizem.koc
202355109,Selin Karadeniz,CE,1,selin.karadeniz
202355802,Buse Korkmaz,CE,1,buse.korkmaz
202355479,Damla Aktaş,CE,1,damla.aktas
202355415,Burak Şimşek,CE,1,burak.simsek
202355136,Emre Yiğit,CE,1,emre.yigit
202355415,Sinan Sarı,CE,1,sinan.sari
202355604,Bora Şahin,CE,1,bora.sahin
202355767,Utku Erten,CE,1,utku.erten
202355965,Berk Yıldırım,CE,1,berk.yildirim
202355983,Emir Çelik,CE,1,emir.celik
202355389,Ece Özkan,CE,1,ece.ozkan
202355983,Batuhan Doğan,CE,1,batuhan.dogan
202355451,Azra Çakır,CE,1,azra.cakir
202355785,İrem Özdemir,CE,1,irem.ozdemir
202310900,Ece Erten,CEN,1,ece.erten
202310315,Sinan Polat,CEN,1,sinan.polat
202310379,Selin Koç,CEN,1,selin.koc
202310171,Can Korkmaz,CEN,1,can.korkmaz
202310360,Ayşe Aktaş,CEN,1,ayse.aktas
202310081,Simge Bulut,CEN,1,simge.bulut
202310388,Tuğba Kaya,CEN,1,tugba.kaya
202310739,Gizem Korkmaz,CEN,1,gizem.korkmaz
202310586,Yiğit Karadeniz,CEN,1,yigit.karadeniz
202310289,Serra Kaya,CEN,1,serra.kaya
202310739,Pelin Kurt,CEN,1,pelin.kurt
202310522,Kaan Sarı,CEN,1,kaan.sari
202310766,Zeynep Polat,CEN,1,zeynep.polat
202310649,Ece Erdem,CEN,1,ece.erdem
202310298,Utku Polat,CEN,1,utku.polat
202310171,Sinan Güneş,CEN,1,sinan.gunes
202310874,Kaan Avcı,CEN,1,kaan.avci
202310126,Fatma Koç,CEN,1,fatma.koc
202310117,Can Şimşek,CEN,1,can.simsek
202310612,Can Aslan,CEN,1,can.aslan
202310892,Melis Özbek,CEN,1,melis.ozbek
202310775,Gizem Kılıç,CEN,1,gizem.kilic
202310207,Burak Özdemir,CEN,1,burak.ozdemir
202310801,Utku Uzun,CEN,1,utku.uzun
202310441,Mehmet Öztürk,CEN,1,mehmet.ozturk
202310243,Kerem Özkan,CEN,1,kerem.ozkan
202310829,Damla Polat,CEN,1,damla.polat
202310973,Emir Sarı,CEN,1,emir.sari
202310144,Doruk Yaman,CEN,1,doruk.yaman
202310757,Beren Erdem,CEN,1,beren.erdem
202310126,Onur Demir,CEN,1,onur.demir
202310306,Utku Şahin,CEN,1,utku.sahin
202310441,Buse Aydın,CEN,1,buse.aydin
202310928,Emir Şimşek,CEN,1,emir.simsek
202374685,Utku Kaplan,MBG,1,utku.kaplan
202374063,Tolga Demir,MBG,1,tolga.demir
202374478,Oğuz Erdem,MBG,1,oguz.erdem
202374630,Tolga Tekin,MBG,1,tolga.tekin
202374063,Berk Polat,MBG,1,berk.polat
202374171,Kaan Özbek,MBG,1,kaan.ozbek
202374441,Serra Korkmaz,MBG,1,serra.korkmaz
202374063,Onur Korkmaz,MBG,1,onur.korkmaz
202374469,Bora Özdemir,MBG,1,bora.ozdemir
202374702,Utku Kaya,MBG,1,utku.kaya
202374063,Buse Çakır,MBG,1,buse.cakir
202374081,Serra Yıldırım,MBG,1,serra.yildirim
202374135,Ayşe Özcan,MBG,1,ayse.ozcan
202374739,Emre Kılıç,MBG,1,emre.kilic
202374919,Yiğit Şahin,MBG,1,yigit.sahin
202374009,Duru Şimşek,MBG,1,duru.simsek
202374694,Pelin Korkmaz,MBG,1,pelin.korkmaz
202374171,İrem Korkmaz,MBG,1,irem.korkmaz
202374135,Selin Korkmaz,MBG,1,selin.korkmaz
202374991,Yiğit Yıldırım,MBG,1,yigit.yildirim
202374964,Can Özdemir,MBG,1,can.ozdemir
202374441,İrem Yılmaz,MBG,1,irem.yilmaz
202374612,Tolga Kaplan,MBG,1,tolga.kaplan
202374649,Sinan Özbek,MBG,1,sinan.ozbek
202374496,Gökçe Özkan,MBG,1,gokce.ozkan
202374450,Arda Çakır,MBG,1,arda.cakir
202366125,Zeynep Uzun,BA,1,zeynep.uzun
202366936,Tuğba Korkmaz,BA,1,tugba.korkmaz
202366620,Doruk Kaya,BA,1,doruk.kaya
202366459,Can Demir,BA,1,can.demir
202366710,Onur Özkan,BA,1,onur.ozkan
202366224,Kaan Erdem,BA,1,kaan.erdem
202366071,Gökçe Kaya,BA,1,gokce.kaya
202366468,Ahmet Can,BA,1,ahmet.can
202366396,Serra Özbek,BA,1,serra.ozbek
202366747,Emre Yıldırım,BA,1,emre.yildirim
202366404,Bora Arslan,BA,1,bora.arslan
202366152,Damla Demir,BA,1,damla.demir
202366099,Gizem Şimşek,BA,1,gizem.simsek
202366341,Gökçe Kılıç,BA,1,gokce.kilic
202366521,Sinan Şimşek,BA,1,sinan.simsek
202366963,Utku Kılıç,BA,1,utku.kilic
202366477,Deniz Sarı,BA,1,deniz.sari
202366477,Serra Bulut,BA,1,serra.bulut
202366260,Kaan Tekin,BA,1,kaan.tekin
202366198,Damla Özcan,BA,1,damla.ozcan
202366396,Fatma Özdemir,BA,1,fatma.ozdemir
202366206,Yiğit Kılıç,BA,1,yigit.kilic
202366990,Duru Korkmaz,BA,1,duru.korkmaz
202366828,Buse Kaya,BA,1,buse.kaya
202366594,Beren Kılıç,BA,1,beren.kilic
202366666,Beren Doğan,BA,1,beren.dogan
202366297,Ayşe Tekin,BA,1,ayse.tekin
202366387,Kaan Bulut,BA,1,kaan.bulut
202366053,Deniz Şahin,BA,1,deniz.sahin
202366710,Tuğba Bulut,BA,1,tugba.bulut
202366459,Beren Avcı,BA,1,beren.avci
202366828,Azra Özcan,BA,1,azra.ozcan
202377934,Beren Özdemir,PSY,1,beren.ozdemir
202377772,Duru Aktaş,PSY,1,duru.aktas
202377051,Simge Özcan,PSY,1,simge.ozcan
202377547,İrem Aslan,PSY,1,irem.aslan
202377736,Yiğit Kurt,PSY,1,yigit.kurt
202377781,Zeynep Korkmaz,PSY,1,zeynep.korkmaz
202377646,Serra Erdem,PSY,1,serra.erdem
202377998,Pelin Can,PSY,1,pelin.can
202377808,Berk Kılıç,PSY,1,berk.kilic
202377853,Gizem Aktaş,PSY,1,gizem.aktas
202377637,Gökçe Yiğit,PSY,1,gokce.yigit
202377556,Utku Kurt,PSY,1,utku.kurt
202377286,Buse Arslan,PSY,1,buse.arslan
202377600,Beren Uzun,PSY,1,beren.uzun
202377394,Duru Özkan,PSY,1,duru.ozkan
202377547,Damla Kaplan,PSY,1,damla.kaplan
202377088,Ayşe Özbek,PSY,1,ayse.ozbek
202377088,Tuğba Tekin,PSY,1,tugba.tekin
202377312,Simge Aslan,PSY,1,simge.aslan
202377240,Ece Çetin,PSY,1,ece.cetin
202377169,Buse Tekin,PSY,1,buse.tekin
202377088,Berk Avcı,PSY,1,berk.avci
202377385,Damla Kılıç,PSY,1,damla.kilic
202377060,Zeynep Erdem,PSY,1,zeynep.erdem
202377899,Zeynep Aktaş,PSY,1,zeynep.aktas
202377321,Fatma Uzun,PSY,1,fatma.uzun
202377907,Yiğit Özcan,PSY,1,yigit.ozcan
202377709,Emre Aksoy,PSY,1,emre.aksoy
202377439,Sinan Çakır,PSY,1,sinan.cakir
202380688,Tolga Özcan,F,1,tolga.ozcan
202380156,Sinan Erten,F,1,sinan.erten
202380831,Kaan Koç,F,1,kaan.koc
202380462,Azra Tekin,F,1,azra.tekin
202380723,Alara Avcı,F,1,alara.avci
202380075,Batuhan Can,F,1,batuhan.can
202380958,Doruk Erdem,F,1,doruk.erdem
202380390,Bora Avcı,F,1,bora.avci
202380345,Kerem Özbek,F,1,kerem.ozbek
202380714,Serra Sarı,F,1,serra.sari
202380723,Simge Doğan,F,1,simge.dogan
202380462,Ece Özbek,F,1,ece.ozbek
202380002,Gökçe Karadeniz,F,1,gokce.karadeniz
202380200,Arda Aslan,F,1,arda.aslan
202380138,Kerem Kaya,F,1,kerem.kaya
202380552,Selin Yiğit,F,1,selin.yigit
202380462,Melis Çetin,F,1,melis.cetin
202380840,Tuğba Yıldız,F,1,tugba.yildiz
202380039,Oğuz Özkan,F,1,oguz.ozkan
202380408,Batuhan Özcan,F,1,batuhan.ozcan
202380372,Bora Yiğit,F,1,bora.yigit
202380516,Pelin Sarı,F,1,pelin.sari
202380958,Serra Uzun,F,1,serra.uzun
202380480,Yiğit Sarı,F,1,yigit.sari
202380615,Beren Demir,F,1,beren.demir
202380769,Simge Karadeniz,F,1,simge.karadeniz
202311242,Ahmet Koç,CS,1,ahmet.koc
202311990,Emir Kaya,CS,1,emir.kaya
202311909,Kerem Çetin,CS,1,kerem.cetin
202311161,Melis Erten,CS,1,melis.erten
202311323,Gizem Uzun,CS,1,gizem.uzun
202311738,Burak Doğan,CS,1,burak.dogan
202311963,Can Polat,CS,1,can.polat
202311918,Kerem Şimşek,CS,1,kerem.simsek
202311413,Emre Aslan,CS,1,emre.aslan
202311936,Mehmet Çakır,CS,1,mehmet.cakir
202311099,Gizem Avcı,CS,1,gizem.avci
202311666,Burak Karadeniz,CS,1,burak.karadeniz
202311837,Tolga Doğan,CS,1,tolga.dogan
202311792,Bora Özkan,CS,1,bora.ozkan
202311279,Alara Uzun,CS,1,alara.uzun
202311477,Damla Uysal,CS,1,damla.uysal
202311486,Sinan Uysal,CS,1,sinan.uysal
202311675,Deniz Erten,CS,1,deniz.erten
202311891,Simge Sarı,CS,1,simge.sari
202311710,Mehmet Kaplan,CS,1,mehmet.kaplan
202311314,Selin Çetin,CS,1,selin.cetin
202311341,Selin Özdemir,CS,1,selin.ozdemir
202311350,Onur Polat,CS,1,onur.polat
202311477,Kaan Korkmaz,CS,1,kaan.korkmaz
202311035,Simge Aksoy,CS,1,simge.aksoy
202311576,Burak Tekin,CS,1,burak.tekin
202311314,Batuhan Özkan,CS,1,batuhan.ozkan
202311062,Can Yiğit,CS,1,can.yigit
202311594,Serra Can,CS,1,serra.can
202311936,Doruk Özdemir,CS,1,doruk.ozdemir
202311099,Batuhan Kaya,CS,1,batuhan.kaya
202311512,Oğuz Çakır,CS,1,oguz.cakir
202311611,Deniz Kılıç,CS,1,deniz.kilic
202311099,Duru Özbek,CS,1,duru.ozbek
202311846,Oğuz Yıldırım,CS,1,oguz.yildirim
202333239,Berk Öztürk,EE,1,berk.ozturk
202333897,Can Kaplan,EE,1,can.kaplan
202333347,Batuhan Kaplan,EE,1,batuhan.kaplan
202333338,Beren Yıldırım,EE,1,beren.yildirim
202333455,Emir Çakır,EE,1,emir.cakir
202333897,Serra Özcan,EE,1,serra.ozcan
202333202,Melis Yıldırım,EE,1,melis.yildirim
202333329,Beren Yıldız,EE,1,beren.yildiz
202333257,Pelin Doğan,EE,1,pelin.dogan
202333626,Utku Yiğit,EE,1,utku.yigit
202333590,Azra Erdem,EE,1,azra.erdem
202333185,Arda Öztürk,EE,1,arda.ozturk
202333572,Emir Demir,EE,1,emir.demir
202333905,Oğuz Aydın,EE,1,oguz.aydin
202333004,Emir Kaplan,EE,1,emir.kaplan
202333518,Ece Özdemir,EE,1,ece.ozdemir
202333509,Sinan Yıldırım,EE,1,sinan.yildirim
202333446,Utku Aslan,EE,1,utku.aslan
202333527,Mehmet Koç,EE,1,mehmet.koc
202333365,Duru Yaman,EE,1,duru.yaman
202333888,Onur Uzun,EE,1,onur.uzun
202333004,Beren Sarı,EE,1,beren.sari
202333356,Can Doğan,EE,1,can.dogan
202333932,Pelin Özcan,EE,1,pelin.ozcan
202333112,Zeynep Uysal,EE,1,zeynep.uysal
202333923,İrem Özbek,EE,1,irem.ozbek
202333257,Duru Polat,EE,1,duru.polat
202333518,Selin Avcı,EE,1,selin.avci
202333842,Damla Yıldız,EE,1,damla.yildiz
202333572,Doruk Aslan,EE,1,doruk.aslan
202333608,Simge Özkan,EE,1,simge.ozkan
202333266,Ahmet Aktaş,EE,1,ahmet.aktas
202333608,Emir Polat,EE,1,emir.polat
202333969,Selin Tekin,EE,1,selin.tekin
202333996,Yiğit Arslan,EE,1,yigit.arslan
202344723,Tolga Yiğit,ME,1,tolga.yigit
202344381,İrem Uzun,ME,1,irem.uzun
202344921,Yiğit Özkan,ME,1,yigit.ozkan
202344516,Emir Doğan,ME,1,emir.dogan
202344813,Tuğba Şahin,ME,1,tugba.sahin
202344057,Beren Aslan,ME,1,beren.aslan
202344985,Ahmet Kılıç,ME,1,ahmet.kilic
202344642,Selin Kaya,ME,1,selin.kaya
202344679,Oğuz Arslan,ME,1,oguz.arslan
202344804,Batuhan Sarı,ME,1,batuhan.sari
202344543,Kerem Çakır,ME,1,kerem.cakir
202344426,Utku Erdem,ME,1,utku.erdem
202344020,Damla Yılmaz,ME,1,damla.yilmaz
202344778,Tolga Koç,ME,1,tolga.koc
202344561,Buse Yıldız,ME,1,buse.yildiz
202344813,Serra Aydın,ME,1,serra.aydin
202344930,Yiğit Özdemir,ME,1,yigit.ozdemir
202344976,Tuğba Aksoy,ME,1,tugba.aksoy
202344651,Kerem Tekin,ME,1,kerem.tekin
202344417,Melis Polat,ME,1,melis.polat
202344192,İrem Can,ME,1,irem.can
202344787,Doruk Aksoy,ME,1,doruk.aksoy
202344831,Burak Koç,ME,1,burak.koc
202344345,Kaan Şahin,ME,1,kaan.sahin
202344020,Alara Özcan,ME,1,alara.ozcan
202344813,Deniz Karadeniz,ME,1,deniz.karadeniz
202344615,Zeynep Sarı,ME,1,zeynep.sari
202344002,Simge Aydın,ME,1,simge.aydin
202322448,Buse Uysal,IE,1,buse.uysal
202322196,Pelin Polat,IE,1,pelin.polat
202322790,Ayşe Şimşek,IE,1,ayse.simsek
202322673,Utku Aktaş,IE,1,utku.aktas
202322330,Zeynep Can,IE,1,zeynep.can
202322321,Ece Koç,IE,1,ece.koc
202322745,Berk Arslan,IE,1,berk.arslan
202322484,Tolga Çakır,IE,1,tolga.cakir
202322501,Selin Özcan,IE,1,selin.ozcan
202322691,Mert Aydın,IE,1,mert.aydin
202322169,Emir Bulut,IE,1,emir.bulut
202322583,Batuhan Arslan,IE,1,batuhan.arslan
202322150,Damla Korkmaz,IE,1,damla.korkmaz
202322231,Batuhan Çakır,IE,1,batuhan.cakir
202322268,Serra Aslan,IE,1,serra.aslan
202322295,Tuğba Avcı,IE,1,tugba.avci
202322187,Tolga Aksoy,IE,1,tolga.aksoy
202322691,Berk Erten,IE,1,berk.erten
202322565,Damla Aydın,IE,1,damla.aydin
202322466,Kaan Erten,IE,1,kaan.erten
202322484,Yiğit Erten,IE,1,yigit.erten
202322646,Ahmet Özdemir,IE,1,ahmet.ozdemir
202322475,Buse Özcan,IE,1,buse.ozcan
202322187,Can Arslan,IE,1,can.arslan
202322691,Serra Özdemir,IE,1,serra.ozdemir
202322493,Damla Arslan,IE,1,damla.arslan
202322727,Utku Yıldız,IE,1,utku.yildiz
202322033,Kerem Karadeniz,IE,1,kerem.karadeniz
202322402,Damla Kurt,IE,1,damla.kurt
202322295,Serra Yıldız,IE,1,serra.yildiz
202322600,Tolga Erdem,IE,1,tolga.erdem
202322943,Deniz Özdemir,IE,1,deniz.ozdemir
202322178,Damla Çelik,IE,1,damla.celik
202322411,İrem Bulut,IE,1,irem.bulut
202355956,Arda Özkan,CE,1,arda.ozkan
202355550,Melis Aktaş,CE,1,melis.aktas
202355983,Onur Aslan,CE,1,onur.aslan
202355532,Tuğba Sarı,CE,1,tugba.sari
202355758,Kaan Özkan,CE,1,kaan.ozkan
202355929,Can Sarı,CE,1,can.sari
202355424,Simge Şahin,CE,1,simge.sahin
202355398,Mert Özdemir,CE,1,mert.ozdemir
202355226,Ahmet Tekin,CE,1,ahmet.tekin
202355406,Oğuz Erten,CE,1,oguz.erten
202355488,Arda Koç,CE,1,arda.koc
202355424,Serra Yiğit,CE,1,serra.yigit
202355730,Kaan Kurt,CE,1,kaan.kurt
202355839,Buse Yılmaz,CE,1,buse.yilmaz
202355127,Ayşe Avcı,CE,1,ayse.avci
202355433,Azra Kılıç,CE,1,azra.kilic
202355073,Azra Uysal,CE,1,azra.uysal
202355910,Ayşe Yıldırım,CE,1,ayse.yildirim
202355235,Sinan Yıldız,CE,1,sinan.yildiz
202355569,Alara Kurt,CE,1,alara.kurt
202355893,Damla Aslan,CE,1,damla.aslan
202355352,Kerem Aktaş,CE,1,kerem.aktas
202355596,Deniz Çetin,CE,1,deniz.cetin
202355875,Alara Özkan,CE,1,alara.ozkan
202355613,Melis Bulut,CE,1,melis.bulut
202355992,Buse Öztürk,CE,1,buse.ozturk
202310504,Emre Sarı,CEN,1,emre.sari
202310847,Can Yıldırım,CEN,1,can.yildirim
202310405,Pelin Koç,CEN,1,pelin.koc
202310838,Deniz Erdem,CEN,1,deniz.erdem
202310153,Deniz Özbek,CEN,1,deniz.ozbek
202310171,Azra Yıldırım,CEN,1,azra.yildirim
